rank,company_name,company_url,company_source,job_count,fit_band,score,title,job_url,date_updated,hours_per_week,salary,estimated_monthly_usd,skill_requirement,positives,concerns,summary
11,S2F Worldwide Enterprises,,exposed_company_or_brand,1,Excellent,67,AI Automation Specialist / Executive Operations Assistant,https://www.onlinejobs.ph/jobseekers/job/AI-Automation-Specialist-Executive-Operations-Assistant-1678791,"Jun 29, 2026",40,$400/month,400.0,CRM Lead Generation AI Automation,"Modern AI/tooling: claude, chatgpt, ai tools, ai automation | Funnels, CRM, automations: gohighlevel, ghl, zapier, automation, workflow | Sales, outbound, lead lists: lead generation, lead gen, appointment setting | Early-career friendly language: assistant, va, templates | Budget fit: listed around $400/month","May be too senior: manager, lead | Specialized/non-Arca fit: compliance","I am hiring a full-time AI Automation Specialist to help run and improve a fast-moving sales and lead generation operation. This is not a basic VA role. I need someone who is highly experienced with AI tools, automation tools, CRM systems, and workflow..."
12,Vici Trading Co LTD,,exposed_company_or_brand,2,Excellent,67,"Ecommerce Growth Market Specialist - SEO, PPC, Marketing...",https://www.onlinejobs.ph/jobseekers/job/Ecommerce-Growth-Market-Specialist-SEO-PPC-Marketing-1678921,"Jun 29, 2026",45,$1200/month,1200.0,PPC SEO Amazon PPC,"Modern AI/tooling: chatgpt, ai tools, canva | Websites, landing pages, dashboards: website, landing page, shopify | Funnels, CRM, automations: funnel, automation, workflow | Sales, outbound, lead lists: linkedin | Early-career friendly language: va, sop, sops | Near budget: listed around $1,200/month",,"Growth Marketing Specialist We are looking for a proactive, commercially minded Growth Marketing Specialist to help scale our online sales across our website and multiple marketplaces. This is a hands-on, all-round digital marketing role covering SEO, PPC..."
13,Velura Group,,exposed_company_or_brand,1,Excellent,65,Funnel Builder (Full-Stack) — Advertorial Funnels for Dutch eCommerce,https://www.onlinejobs.ph/jobseekers/job/Funnel-Builder-Full-Stack-Advertorial-Funnels-for-Dutch-eCommerce-1677874,"Jun 27, 2026",40,$7,7.0,Clickfunnels Website Copywriting Funnelish,"Websites, landing pages, dashboards: website, landing page, landing pages, shopify | Funnels, CRM, automations: funnel, funnels, api | Early-career friendly language: junior, va, sop, sops | Budget fit: listed around $7/month",Specialized/non-Arca fit: claims,"We run a 7-figure health & wellness eCommerce brand selling to the Netherlands. We're looking for an experienced, autonomous funnel builder who can take a product and ship a complete, high-converting advertorial funnel — build, copy, and tracking — without..."
14,100Bmod,https://100bmod.org,inferred_from_domain,1,Excellent,64,Backend-Focused WordPress Developer Needed for Custom Elementor Pro Websites,https://www.onlinejobs.ph/jobseekers/job/Backend-Focused-WordPress-Developer-Needed-for-Custom-Elementor-Pro-Websites-1679545,"Jun 30, 2026",40,STARTING AT $640 per month,640.0,PHP Wordpress Javascript,"Websites, landing pages, dashboards: website, front-end, wordpress, html, css | Funnels, CRM, automations: ghl, automation, workflow, api, webhook | Early-career friendly language: va, templates | Budget fit: listed around $640/month","May be too senior: advanced, architect","BACKEND-FIRST WORDPRESS DEVELOPER REQUIRED — PLEASE READ BEFORE APPLYING This is not a basic Elementor design role. We are looking for a highly skilled WordPress developer with strong backend development, troubleshooting, custom PHP, webhook integration..."
15,Lumesales,https://lumesales.com,inferred_from_domain,1,Excellent,62,Detail-Oriented Virtual Assistant (Full Time | Remote | EST Hours),https://www.onlinejobs.ph/jobseekers/job/Detail-Oriented-Virtual-Assistant-Full-Time-Remote-EST-Hours-1680284,"Jul 1, 2026",40,5-6,6.0,Attention to Detail Organization Time Managment,"Websites, landing pages, dashboards: website, wordpress | Funnels, CRM, automations: ghl, workflow | Sales, outbound, lead lists: lead generation, lead gen | Early-career friendly language: assistant, va, virtual assistant, sop, sops | Budget fit: listed around $6/month",May be too senior: lead,"We are a fast-growing U.S. based digital marketing agency specializing in SEO, content marketing, Google Business Profile management, PPC, and lead generation for home service businesses. We are not looking for a generic virtual assistant. We are looking for..."
16,Makarios Marketing - Jaso,,exposed_company_or_brand,1,Excellent,62,Local SEO Specialist - With AI,https://www.onlinejobs.ph/jobseekers/job/Local-SEO-Specialist-With-AI-1614377,"Jun 26, 2026",29,800-1200,1200.0,Local SEO AI Tools AI Automation,"Modern AI/tooling: claude, claude code, ai tools, ai automation | Websites, landing pages, dashboards: dashboard, dashboards | Funnels, CRM, automations: n8n, automation, workflow | Early-career friendly language: junior, va | Near budget: listed around $1,200/month",May be too senior: head of,Local SEO Specialist (MUST HAVE AI AUTOMATION SKILLS IN LOCAL SEO) Full-Time - Makarios Marketing | [Remote] About the Role We're not looking for a traditional SEO hire. We're looking for a rare hybrid: someone who lives and breathes local SEO and thinks like...
17,Revivepaintingang,https://revivepaintingang.uk,inferred_from_domain,1,Excellent,62,AI Builder + Support Lead,https://www.onlinejobs.ph/jobseekers/job/AI-Builder-Support-Lead-1680404,"Jul 1, 2026",40,"50,000-70,000 PHP / month",1206.9,Google Suite Zapier AI Automation,"Modern AI/tooling: claude, chatgpt, ai tools, ai automation | Funnels, CRM, automations: zapier, n8n, automation, workflow, crm | Early-career friendly language: va, sop, sops | Near budget: listed around $1,207/month",May be too senior: lead,"Job Title Full-Time AI Builder for Trades Software Startup (ChatGPT, Claude, Zapier) Job Type Full-time, long-term remote role. Philippines only. Compensation PHP 50,000–70,000/month, depending on experience and fit, plus performance-based bonuses as the..."
18,Kluglino LLC,,exposed_company_or_brand,1,Excellent,61,Virtual Assistant – Retail & Dispensary Operations,https://www.onlinejobs.ph/jobseekers/job/Virtual-Assistant-Retail-Dispensary-Operations-1678113,"Jun 28, 2026",40,$1000/month,1000.0,,"Modern AI/tooling: chatgpt, ai tools | Funnels, CRM, automations: ghl, zapier, workflow, crm, api | Early-career friendly language: assistant, va, virtual assistant, sop, sops | Strong budget fit: listed around $1,000/month","Specialized/non-Arca fit: payroll, compliance","Virtual Assistant – Retail & Dispensary Operations About Us We are a fast-growing retail and cannabis company operating multiple dynamic businesses. We are building a strong operational team to support continued growth, maintain compliance, and ensure..."
19,Caliberworkforce,https://caliberworkforce.com,inferred_from_domain,5,Excellent,60,Revenue Operations (Home Services),https://www.onlinejobs.ph/jobseekers/job/Revenue-Operations-Home-Services-1679663,"Jun 30, 2026",40,TBD,,,"Modern AI/tooling: claude, chatgpt | Funnels, CRM, automations: zapier, automation, workflow, crm, hubspot | Sales, outbound, lead lists: lead generation, lead gen, outbound | Early-career friendly language: assistant, va, virtual assistant, sop, templates | Budget likely reviewable: salary unclear",May be too senior: lead,"Caliber Workforce | Revenue Operations (Home Services) APPLY HERE: www.caliberworkforce.com/aicareers Caliber Workforce is a premium, AI-fluent staffing platform for founder-operators at growth-stage businesses. We don't place generic virtual assistants. We..."
20,GRACE INSPIRED LIFE,https://16personalities.com,inferred_from_description,1,Excellent,60,Junior Virtual Assistant,https://www.onlinejobs.ph/jobseekers/job/Junior-Virtual-Assistant-1677893,"Jun 28, 2026",40,$550 a month,550.0,Amazon Wordpress Youtube Marketing,"Modern AI/tooling: claude, chatgpt, canva | Websites, landing pages, dashboards: website, wordpress | Funnels, CRM, automations: ghl, workflow | Early-career friendly language: entry-level, junior, training provided, assistant, va | Budget fit: listed around $550/month",Specialized/non-Arca fit: compliance,"We're hiring a Junior Virtual Assistant to support Grace Inspired Life — an Amazon Influencer brand built around authentic product reviews, affiliate content, and a growing niche media portfolio. This is an entry-level, long-term, full-time remote role (40..."
21,Legacy Asset Recovery Group,,exposed_company_or_brand,1,Excellent,60,Asset Recovery Specialist,https://www.onlinejobs.ph/jobseekers/job/Asset-Recovery-Specialist-1663225,"Jun 25, 2026",40,$5/hour,866.0,CRM Cold Calling English Speaking,"Funnels, CRM, automations: gohighlevel, ghl, crm, hubspot | Sales, outbound, lead lists: lead generation, lead gen, outbound, cold calling | Early-career friendly language: assistant, va, virtual assistant | Strong budget fit: listed around $866/month",May be too senior: lead,"About Us: We are a fast-growing asset recovery company focused on helping individuals recover unclaimed funds, surplus proceeds, and other recoverable assets. We are looking for a highly organized, results-driven Virtual Assistant to support lead generation..."
22,Moon Media,,inferred_from_description,1,Excellent,60,Notion Systems Specialist + Automation,https://www.onlinejobs.ph/jobseekers/job/Notion-Systems-Specialist-Automation-1676482,"Jun 25, 2026",40,"$1,000-$1,300",1300.0,Creative Problem Solving Notion AI Automation,"Modern AI/tooling: claude, ai tools, ai automation | Websites, landing pages, dashboards: dashboard, dashboards | Funnels, CRM, automations: gohighlevel, ghl, funnel, funnels, zapier | Early-career friendly language: assistant, va, virtual assistant, sop, sops | Near budget: listed around $1,300/month","May be too senior: senior, lead, head of, expert","Company: Moon Media Location: Remote Type: Full-Time Working Hours: Monday-Friday, 9:00 AM - 5:00 PM EST Experience Level: Mid-Senior --- About Moon Media We're a fast-growing creative agency that helps brands dominate short-form content. Our clients include..."
23,Us Boss Builder Academy,,inferred_from_description,1,Excellent,60,Member Success & Enrollment Coordinator (Community & Lead Follow-Up),https://www.onlinejobs.ph/jobseekers/job/Member-Success-Enrollment-Coordinator-Community-Lead-Follow-Up-1679447,"Jun 30, 2026",40,$5 per hour,866.0,Community Moderation Customer Service Appointment Setting,"Modern AI/tooling: ai tools | Funnels, CRM, automations: gohighlevel, ghl, automation, crm, sms | Sales, outbound, lead lists: appointment setting | Early-career friendly language: assistant, va, virtual assistant, sop, sops | Strong budget fit: listed around $866/month",May be too senior: lead,"Member Success & Enrollment Coordinator About Us Boss Builder Academy is a growing online business education and entrepreneur community helping people build businesses, create multiple income streams, leverage AI and automation, improve their finances, and..."
24,CONTACT MARKETERS LLC,,exposed_company_or_brand,4,Excellent,59,B2B Business Development Manager – Lead Generation Full-Time | Performance Bonuses | Long-Term Role,https://www.onlinejobs.ph/jobseekers/job/B2B-Business-Development-Manager-Lead-Generation-Full-Time-Performance-Bonuses-Long-Term-Role-1627647,"Jun 26, 2026",40,$3-5 PER HOUR PLUS MONTHLY BONUSES!,866.0,Email Marketing LinkedIn Marketing Business development,"Funnels, CRM, automations: crm, hubspot | Sales, outbound, lead lists: lead generation, lead gen, prospecting, outbound, cold email | Early-career friendly language: assistant, va, virtual assistant | Strong budget fit: listed around $866/month","May be too senior: manager, lead","B2B Business Development Manager – Lead Generation Full-Time | Performance Bonuses | Long-Term Role Overview We are hiring a B2B Business Development Manager to generate qualified leads through LinkedIn outreach, cold email campaigns, and outbound calling. A..."
25,Covrix,https://covrix.com,inferred_from_domain,1,Excellent,58,operations - coordinator,https://www.onlinejobs.ph/jobseekers/job/operations-coordinator-1677879,"Jun 27, 2026",40,750,750.0,,"Websites, landing pages, dashboards: dashboard, dashboards | Funnels, CRM, automations: zapier, automation, workflow, api | Early-career friendly language: assistant, va, virtual assistant, coachable, sop | Strong budget fit: listed around $750/month","May be too senior: manager, lead","Virtual Assistant / Success Manager StoicForge | Multi-Brand Ecommerce We Need Someone Who Keeps the Machine Running We're StoicForge - a growing ecommerce company running multiple brands in health, beauty, and personal care. We have the products, the..."
26,"Southcorp Group, Inc",,exposed_company_or_brand,1,Excellent,58,Marketing Operations & Systems Manager (Salesforce / Left Main),https://www.onlinejobs.ph/jobseekers/job/Marketing-Operations-Systems-Manager-Salesforce-Left-Main-1675778,"Jun 24, 2026",40,$8-$11/ hour,11.0,,"Websites, landing pages, dashboards: dashboard, dashboards | Funnels, CRM, automations: zapier, automation, workflow, crm, api | Sales, outbound, lead lists: lead generation, lead gen | Early-career friendly language: assistant, va, virtual assistant | Budget fit: listed around $11/month","May be too senior: manager, lead, advanced","About the Role We are a U.S.-based real estate investment company seeking a Marketing Operations & Systems Manager to oversee the technology, marketing systems, lead flow, reporting, and CRM infrastructure that drives our acquisitions business. This role owns..."
27,Us Kwackers Kitchen & Sports Bar,,inferred_from_description,1,Excellent,58,Content creator/editor Social Media Growth Manager,https://www.onlinejobs.ph/jobseekers/job/Content-creatoreditor-Social-Media-Growth-Manager-1678036,"Jun 28, 2026",40,7,7.0,Social Media Content Creation Social Media Management Social Media Video Editing,"Modern AI/tooling: chatgpt, ai tools, capcut, canva | Websites, landing pages, dashboards: website, dashboard, dashboards, react | Funnels, CRM, automations: ghl | Sales, outbound, lead lists: lead generation, lead gen | Early-career friendly language: va | Budget fit: listed around $7/month","May be too senior: manager, lead",Full-Time | Remote | Philippines | UK Hours Salary: Competitive (Based on Experience) Hours: 40 hours per week Location: Remote (Philippines) Working Hours: UK Time (Flexibility required for major sporting events and campaigns) About Us Kwackers Kitchen &...
28,US Meander Digital,,inferred_from_description,1,Excellent,58,"Digital Marketing Generalist For Marketing Agency in Singapore (SGD800 - 1,200)",https://www.onlinejobs.ph/jobseekers/job/Digital-Marketing-Generalist-For-Marketing-Agency-in-Singapore-SGD800-1200-1677983,"Jun 28, 2026",40,SGD800 - 1200,1200.0,Copywriting Social Media Content Creation Digital Marketing,"Modern AI/tooling: ai tools, capcut, canva | Websites, landing pages, dashboards: website, landing page, landing pages | Funnels, CRM, automations: workflow | Sales, outbound, lead lists: lead generation, lead gen, linkedin | Early-career friendly language: assistant, va, sop, sops | Near budget: listed around $1,200/month","May be too senior: lead, expert","Content, Creative & Operations Support — for a Growing Singapore-based Digital Agency In plain terms: a hands-on, do-a-bit-of-everything marketer — copywriting-led, with design, video, and light ops support — who helps a lean agency run and grow. Full-Time •..."
29,Brandm3Dia,https://brandm3dia.com,inferred_from_domain,2,Excellent,57,Virtual Executive Assistant to the CEO,https://www.onlinejobs.ph/jobseekers/job/Virtual-Executive-Assistant-to-the-CEO-1668948,"Jun 30, 2026",40,"35,000-45,000",775.86,,"Modern AI/tooling: claude, chatgpt, ai tools | Websites, landing pages, dashboards: website | Funnels, CRM, automations: ghl, automation, workflow, api | Sales, outbound, lead lists: linkedin | Early-career friendly language: assistant, va | Strong budget fit: listed around $776/month","May be too senior: senior, lead","Virtual Executive Assistant to the CEO Part-Time and Full-Time Opportunities Available About the Role Brand M3dia is seeking a highly organized, proactive, and tech-savvy Virtual Executive Assistant to support our CEO in managing day-to-day operations..."
30,Yobbr,https://yobbr.com,inferred_from_domain,1,Excellent,57,"Experienced Sales, Marketing & Customer Support Virtual Assistant | Experience Required",https://www.onlinejobs.ph/jobseekers/job/Experienced-Sales-Marketing-Customer-Support-Virtual-Assistant-Experience-Required-1680315,"Jul 1, 2026",40,"Peso 25,000/month",431.03,Customer Support Lead Generation Sales,"Funnels, CRM, automations: gohighlevel, ghl, crm, sms, api | Sales, outbound, lead lists: lead generation, lead gen, outbound | Early-career friendly language: entry-level, assistant, va, virtual assistant | Budget fit: listed around $431/month",May be too senior: lead,"We are hiring an Experienced Sales, Marketing & Customer Support Virtual Assistant. Please apply only if you have previous experience in sales, customer support, lead follow-up, customer communication, and working with US-based clients. This is not an..."
31,ZT (Tutoring Company),,exposed_company_or_brand,2,Excellent,57,Associate Administrative Assistant | Remote Position,https://www.onlinejobs.ph/jobseekers/job/Associate-Administrative-Assistant-Remote-Position-1677373,"Jun 26, 2026",40,$7/Hour,1212.4,Customer Service Executive Assistance AI Automation,"Modern AI/tooling: claude, chatgpt, ai tools, ai automation | Funnels, CRM, automations: gohighlevel, ghl, automation, crm | Early-career friendly language: assistant, va, coachable | Near budget: listed around $1,212/month",,"We are hiring an assistant with proven experience and a strong background in wearing multiple hats. However, please note that this is not your usual VA role. We need someone who thinks beyond assigned tasks, takes initiative, and actively contributes to..."
32,GES Inc,,exposed_company_or_brand,1,Excellent,56,Lead Acquisition & Management Specialist,https://www.onlinejobs.ph/jobseekers/job/Lead-Acquisition-Management-Specialist-1669120,"Jul 1, 2026",50,$1000 monthly,1000.0,CRM Lead Generation English Speaking,"Funnels, CRM, automations: gohighlevel, ghl, automation, workflow, crm | Sales, outbound, lead lists: lead generation, lead gen, outbound, appointment setting | Early-career friendly language: va | Strong budget fit: listed around $1,000/month",May be too senior: lead,"Now hiring Lead acquisition & management specialist Los Angeles, CA — Remote (PST hours required) · Full-time Compensation $1,000/mo Hours 8 AM – 5 PM PST Schedule Mon – Fri Timezone Pacific (PST) About the role We are a Los Angeles–based company looking for..."
33,Gostaffify,https://gostaffify.com,inferred_from_domain,1,Excellent,56,Sales Virtual Assistant (Phone Calls & Lead Follow-Up),https://www.onlinejobs.ph/jobseekers/job/Sales-Virtual-Assistant-Phone-Calls-Lead-Follow-Up-1678610,"Jun 29, 2026",40,$960,960.0,Sales Management Cold Calling Sales,"Funnels, CRM, automations: gohighlevel, ghl, crm, hubspot | Sales, outbound, lead lists: outbound, cold calling, appointment setting | Early-career friendly language: assistant, va, virtual assistant | Strong budget fit: listed around $960/month",May be too senior: lead,"Location: Remote Job Type: Full-Time / Part-Time Salary: Competitive, based on experience About the Role We are looking for a confident and results-driven Sales Virtual Assistant to join our team. The ideal candidate is comfortable making outbound phone..."
34,Leverage Agent LLC,,exposed_company_or_brand,2,Excellent,56,Recruiting Specialist,https://www.onlinejobs.ph/jobseekers/job/Recruiting-Specialist-1668943,"Jun 25, 2026",40,$6 to $7/ hour,7.0,,"Websites, landing pages, dashboards: dashboard, dashboards | Funnels, CRM, automations: ghl, funnel, crm | Sales, outbound, lead lists: lead generation, lead gen, prospecting, outbound, linkedin | Early-career friendly language: va, coachable | Budget fit: listed around $7/month",May be too senior: lead | Specialized/non-Arca fit: compliance,"Oz Group | eXp Realty Help Build One of the Fastest-Growing Real Estate Teams in New Jersey Oz Group is on a mission to redefine agent growth and success in real estate. Led by Joe Oz, a member of Zillow's Agent Advisory Board, Oz Group is one of New Jersey's..."
35,Quiresoft Technologies Inc,,inferred_from_description,1,Excellent,56,Full-Time Growth & Marketing Specialist,https://www.onlinejobs.ph/jobseekers/job/Full-Time-Growth-Marketing-Specialist-1677959,"Jun 30, 2026",40,$600-$900 CAD/Month,900.0,Email Marketing Cold Calling Digital Marketing,"Websites, landing pages, dashboards: web design | Funnels, CRM, automations: gohighlevel, ghl, automation, workflow, crm | Sales, outbound, lead lists: lead generation, lead gen, outbound, cold calling | Early-career friendly language: va | Strong budget fit: listed around $900/month","May be too senior: lead, 5+ years","Job Title: Full-Time Growth & Marketing Specialist Company: Quiresoft Technologies Inc. Location: Remote (Philippines-based), working full-time on PST (Pacific Standard Time) hours Type: Full-time, long-term, exclusive (no other clients or side engagements)..."
36,Whoo Marketing,,exposed_company_or_brand,1,Excellent,56,Full-Time Graphic Designer (Tech & AI Savvy),https://www.onlinejobs.ph/jobseekers/job/Full-Time-Graphic-Designer-Tech-AI-Savvy-1676535,"Jun 25, 2026",40,$400,400.0,Graphic Design Packaging & Brand Idenity Design,"Modern AI/tooling: canva | Websites, landing pages, dashboards: website, web design, wordpress | Funnels, CRM, automations: ghl, workflow | Early-career friendly language: va | Budget fit: listed around $400/month",,JOB TITLE: Full-Time Graphic Designer SHIFT: 8:20 AM EST – 4:20 PM EST (Monday–Friday) Note: The 8:20 AM EST clock-in time is strict and essential for this role. HOURS: 40 Hours per Week SALARY: $400 USD per Month ABOUT THE ROLE: We are a US-based digital...
37,Acadium,https://acadium.com,inferred_from_domain,8,Excellent,55,Lead Generation Specialist (100% WFH),https://www.onlinejobs.ph/jobseekers/job/Lead-Generation-Specialist-100-WFH-1599985,"Jun 30, 2026",40,$600/month + commission,600.0,LinkedIn Marketing Sales Digital Marketing,"Funnels, CRM, automations: crm, hubspot | Sales, outbound, lead lists: lead generation, lead gen, prospecting, sales development, linkedin | Early-career friendly language: entry-level, va | Budget fit: listed around $600/month",May be too senior: lead,"We’re looking for a motivated and results-driven Lead Generation Specialist to help grow our sales pipeline and expand our customer base. As a BDR, you’ll be on the front lines of our sales efforts, identifying potential clients, generating leads, and..."
