rank,score,confidence,seniority,company_name,company_url,company_source,title,job_url,type_of_work,hours_per_week,date_updated,salary,estimated_monthly_usd,skill_requirement,why,summary
11,96,High-confidence vibe coding,"Senior ask, but trainable profile language",The FSW Group,,inferred_from_description,AI Solutions Developer,https://www.onlinejobs.ph/jobseekers/job/AI-Solutions-Developer-1678986,Full Time,40,"Jun 29, 2026",$7 - $10 per hour,1732.0,Developer tools Web Development AI Automation,"Explicit tools: vibe coding, claude code, codex | AI/build signals: claude, ai tools, ai automation | Build surface: dashboard, dashboards, web app, repo, automation, automations, workflow, ghl | Code/build substrate: dashboard, dashboards, web app, repo, claude code | Trainable language: va, will train, learn | Scarcity/seniority signal: senior, lead, manager, architect","HOW TO APPLY Fill out the Application form below: forms.gle/qgZgRCdD38XbhrEX6 Company: The FSW Group (ValveMan, FS Welsford, and our growing family of companies) Hours: Full-time | Remote, Philippines-based | 8:00 AM to 5:00 PM Eastern Time Compensation: $7 -..."
12,94,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,"Creative Virtual Assistant (Social Media, Design, Video & AI Automation) — Long-Term Role",https://www.onlinejobs.ph/jobseekers/job/Creative-Virtual-Assistant-Social-Media-Design-Video-AI-Automation-Long-Term-Role-1679234,Full Time,40,"Jun 30, 2026",USD $800–1500/month,1500.0,Copywriting Social Media Management Social Media Video Editing,"Explicit tools: claude code | AI/build signals: claude, ai tools, ai automation | Build surface: website, repo, automation, workflow, workflows, shopify, wordpress, elementor | Code/build substrate: repo, claude code | Trainable language: assistant, va, virtual assistant | Scarcity/seniority signal: mentor","ABOUT US: We're AdWave, a creative marketing agency based in Melbourne, Australia. We work with healthcare, cosmetic medicine, and lifestyle brands, handling everything from social media and content design to video editing and marketing strategy. We're a..."
13,93,High-confidence vibe coding,Junior or trainable,Company not exposed,,not_exposed,AI Specialist,https://www.onlinejobs.ph/jobseekers/job/AI-Specialist-1511526,Full Time,40,"Jun 30, 2026",$800-1000/month,1000.0,AI Tools AI Automation AI Video Generation,"Explicit tools: claude code, cursor, windsurf, codex | AI/build signals: claude, chatgpt, ai tools, ai automation | Build surface: repo, api, apis, automation, workflow | Code/build substrate: repo, api, apis, cursor, claude code | Trainable language: va, learn",We are looking for an AI Specialist who is passionate about artificial intelligence and enjoys exploring new AI tools and technologies. This role is ideal for someone who stays updated with the latest AI developments and can apply AI solutions to improve...
14,93,High-confidence vibe coding,Junior or trainable,Builder,https://builder.io,inferred_from_domain,AI-Powered Full Stack Developer,https://www.onlinejobs.ph/jobseekers/job/AI-Powered-Full-Stack-Developer-1680946,Any,TBD,"Jul 2, 2026",500,500.0,,"Explicit tools: cursor, lovable, bolt.new, ai-assisted development | AI/build signals: openai, ai tools | Build surface: dashboard, frontend, repo, api, apis, database, automation, workflow | Code/build substrate: dashboard, frontend, repo, api, apis, database | Trainable language: assistant, va","Need AI-Powered Full Stack Developer to Clone a SaaS Platform Fast (Using Builder.io, Cursor, Locofy, etc.) *Description:* I am looking for an experienced developer who knows how to use *AI coding tools* to quickly clone and rebuild a platform for youtube..."
15,92,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Operations Systems Specialist,https://www.onlinejobs.ph/jobseekers/job/Operations-Systems-Specialist-1679012,Part Time,TBD,"Jun 29, 2026",$5-$10/hr,1732.0,Marketing Automation Clickup GoHighLevel,"Explicit tools: cursor | AI/build signals: claude, openai, ai tools, ai automation, ai agent, ai agents | Build surface: website, websites, dashboard, dashboards, repo, html, css, javascript | Code/build substrate: dashboard, dashboards, repo, html, css, javascript | Trainable language: assistant, va, sop, templates, learn | Scarcity/seniority signal: lead, expert, advanced","Mabuhay! We're Shoprev, a fast-growing marketing agency that helps automotive, home service, and local businesses generate more leads through marketing, automation, AI, and operational systems. We're looking for someone who genuinely loves building systems..."
16,91,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Technical Project Coordinator - AI-Augmented Development,https://www.onlinejobs.ph/jobseekers/job/Technical-Project-Coordinator-AI-Augmented-Development-1496172,Full Time,30,"Jun 30, 2026","$1,120-1,600/month + Performance bonu...",1600.0,Software Development Project Manager AI Tools,"Explicit tools: cursor, windsurf, ai-assisted development | AI/build signals: claude, ai tools | Build surface: dashboard, dashboards, react, github, repo, javascript, typescript, python | Code/build substrate: dashboard, dashboards, react, github, repo, javascript | Trainable language: assistant, va, learn | Scarcity/seniority signal: lead, manager, architect","Coordinate 3-5 contractors (scaling to 10-15) building AI-powered business systems across multiple concurrent projects. You'll translate technical specs into executed code, manage dependencies, and maintain quality standards. Remote, full-time (40..."
17,90,High-confidence vibe coding,"Senior ask, but trainable profile language",Makarios Marketing,,inferred_from_description,Claude Code Specialist,https://www.onlinejobs.ph/jobseekers/job/Claude-Code-Specialist-1636196,Full Time,40,"Jun 26, 2026",800-1200,1200.0,SEO AI Tools AI Automation,"Explicit tools: claude code | AI/build signals: claude, ai tools, ai automation | Build surface: dashboard, dashboards, internal tool, internal tools, frontend, github, repo, repository | Code/build substrate: dashboard, dashboards, internal tool, internal tools, frontend, github | Trainable language: va, learn | Scarcity/seniority signal: lead, expert","About the Role Not someone testing it. An expert. You’ve built tools, automations and more. We're seeking an exceptional Claude Code Expert to join our team as a full-time contractor. You'll be our go-to expert for building AI-powered automation tools..."
18,90,High-confidence vibe coding,"Senior ask, but trainable profile language",MaS Dance Academy,,inferred_from_listing_header,Coder Needed | Dance Academy,https://www.onlinejobs.ph/jobseekers/job/Coder-Needed-Dance-Academy-1592540,Full Time,40,"Jun 26, 2026",$$$ Salary To Be Determined,,Javascript Virtual Assistant AI Automation,"Explicit tools: claude code, cursor | AI/build signals: claude, ai automation, llm | Build surface: website, react, repo, html, css, javascript, python, api | Code/build substrate: react, repo, html, css, javascript, python | Trainable language: assistant, va, virtual assistant, templates, learn | Scarcity/seniority signal: senior, lead","Full-time, long-term opportunity. Environment here is CREATIVE and FUN. YOUR FOCUS: You'll be building systems for explosive growth in 2026 and 2027. Examples: • Building Automations (n8n, Zapier, A.I. Tools etc.) • Website Development (HTML, CSS, Javascript..."
19,90,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Executive Assistant | Automations Manager,https://www.onlinejobs.ph/jobseekers/job/Executive-Assistant-Automations-Manager-1677348,Full Time,40,"Jun 26, 2026",$2000-4000,4000.0,Marketing Automation Executive Assistance AI Automation,"Explicit tools: claude code, codex | AI/build signals: claude, chatgpt, ai automation | Build surface: dashboard, dashboards, repo, api, apis, webhook, webhooks, database | Code/build substrate: dashboard, dashboards, repo, api, apis, webhook | Trainable language: assistant, va, sop, learn | Scarcity/seniority signal: lead, manager",I’m hiring an Executive Assistant | Automations Manager for St. Pierre. St. Pierre helps $1M-$10M foundation and waterproofing contractors keep a 3-6 week backlog of high-ticket jobs. This is not a basic VA role. This role is for someone who can work directly...
20,89,High-confidence vibe coding,Junior or trainable,Company not exposed,,not_exposed,Claude Code & Cowork Specialist,https://www.onlinejobs.ph/jobseekers/job/Claude-Code-Cowork-Specialist-1661147,Any,TBD,"Jun 30, 2026",Based on experience,,,"Explicit tools: claude code | AI/build signals: claude, llm | Build surface: website, websites, landing page, landing pages, dashboard, dashboards, repo, api | Code/build substrate: dashboard, dashboards, repo, api, apis, claude code | Trainable language: assistant, va, virtual assistant","About the company: Edge360 / Staff360 is a trusted Managed Service Provider (MSP) and Business Process Outsourcing (BPO) agency. We help businesses streamline operations, optimize technology, and scale efficiently by providing reliable IT solutions and..."
21,88,High-confidence vibe coding,"Senior ask, but trainable profile language",TCB Metal Works,,exposed_company_or_brand,CAD / Takeoff / Metal Fabrication / Technical Assistant — Long-Term Remote Position,https://www.onlinejobs.ph/jobseekers/job/CAD-Takeoff-Metal-Fabrication-Technical-Assistant-Long-Term-Remote-Position-1679086,Any,40,"Jun 30, 2026",5/hour,866.0,Construction And Engineering 3D modeling Quantity Takeoff,"Explicit tools: cursor, replit | AI/build signals: claude, chatgpt, ai tools | Build surface: website, websites, landing page, landing pages, internal tool, internal tools, repo, automation | Code/build substrate: internal tool, internal tools, repo, cursor | Trainable language: assistant, va, learn | Scarcity/seniority signal: lead, architect",**Job Title:** CAD / Takeoff / Metal Fabrication / Technical Assistant — Long-Term Remote Position **Company:** TCB Metal Works **Location:** Remote — Philippines **Type:** Part-Time to Full-Time **Hours:** 20–40 hours per week **Base Pay:** $5 USD per hour...
22,86,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,AI Automation & Operations Specialist (Claude AI Expert),https://www.onlinejobs.ph/jobseekers/job/AI-Automation-Operations-Specialist-Claude-AI-Expert-1680674,Part Time,20,"Jul 1, 2026",15,15.0,,"Explicit tools: claude code | AI/build signals: claude, ai automation, mcp | Build surface: github, repo, javascript, api, apis, webhook, webhooks, automation | Code/build substrate: github, repo, javascript, api, apis, webhook | Trainable language: va | Scarcity/seniority signal: expert",We are looking for an experienced Technical Automation Engineer to build and maintain AI-powered automation workflows for a growing company. Responsibilities Build and maintain self-hosted n8n workflows (Railway or Docker) Develop JavaScript in n8n Function...
23,86,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,AI-Assisted Game Developer (Unity / Godot / Unreal) – Part-Time,https://www.onlinejobs.ph/jobseekers/job/AI-Assisted-Game-Developer-Unity-Godot-Unreal-Part-Time-1678437,Part Time,10,"Jun 29, 2026",3.5$ to 5$ Per Hour,866.0,Game Development Unity Unreal Engine,"Explicit tools: claude code, cursor, ai-assisted development | AI/build signals: claude, chatgpt, ai tools | Build surface: github, repo, api, automation, workflow, workflows | Code/build substrate: github, repo, api, cursor, claude code | Trainable language: va, learn | Scarcity/seniority signal: senior, lead","VersAssist is a fast-growing AI-powered execution company that helps entrepreneurs, authors, educators, and businesses bring ideas to life through content, automation, software, and digital products. We are looking for an AI-assisted Game Developer to join..."
24,86,High-confidence vibe coding,Junior or trainable,Makarios Marketing - Jaso,,exposed_company_or_brand,Local SEO Specialist - With AI,https://www.onlinejobs.ph/jobseekers/job/Local-SEO-Specialist-With-AI-1614377,Full Time,29,"Jun 26, 2026",800-1200,1200.0,Local SEO AI Tools AI Automation,"Explicit tools: claude code | AI/build signals: claude, ai tools, ai automation, ai agent, ai agents | Build surface: dashboard, dashboards, repo, javascript, python, automation, automations, workflow | Code/build substrate: dashboard, dashboards, repo, javascript, python, claude code | Trainable language: junior, va",Local SEO Specialist (MUST HAVE AI AUTOMATION SKILLS IN LOCAL SEO) Full-Time - Makarios Marketing | [Remote] About the Role We're not looking for a traditional SEO hire. We're looking for a rare hybrid: someone who lives and breathes local SEO and thinks like...
25,86,High-confidence vibe coding,"Senior ask, but trainable profile language",Lovable,https://lovable.dev,inferred_from_domain,job Title Lovable Web Developer – Multi-Platform OS Finalization (Ongoing Role),https://www.onlinejobs.ph/jobseekers/job/job-Title-Lovable-Web-Developer-Multi-Platform-OS-Finalization-Ongoing-Role-1538312,Any,TBD,"Jun 25, 2026",600,600.0,Web Design & Page Layout Web Development AI Automation,"Explicit tools: lovable, lovable.dev | AI/build signals: ai automation | Build surface: landing page, landing pages, supabase, repo, automation, workflow, workflows | Code/build substrate: supabase, repo, lovable | Trainable language: va, learn | Scarcity/seniority signal: advanced","## **Job Description** We are building a **multi-brand, CRM-driven business operating system** using **Lovable.dev** as the core platform. This ecosystem powers several live platforms, including: • **Unforgettable Times** (events & experiences platform) •..."
26,85,High-confidence vibe coding,"Senior ask, but trainable profile language",Leadflow Consulting,,exposed_company_or_brand,"Claude AI Specialist (Cowork / Code) | Full-Time, Long-Term",https://www.onlinejobs.ph/jobseekers/job/Claude-AI-Specialist-Cowork-Code-Full-Time-Long-Term-1678141,Full Time,40,"Jun 28, 2026",800,800.0,AI Tools AI Automation,"Explicit tools: claude code | AI/build signals: claude, ai tools, ai automation, mcp | Build surface: dashboard, dashboards, repo, api, automation, workflow, workflows | Code/build substrate: dashboard, dashboards, repo, api, mcp, claude code | Trainable language: assistant, va, virtual assistant, templates | Scarcity/seniority signal: lead, expert, advanced, security",**About the role** I run a fast-growing AI consulting business serving high-profile entrepreneurs in the German-speaking market. We help them work with Claude (Cowork) and we build the setups and skills that run their business. We already run client Claude...
27,85,High-confidence vibe coding,"Senior ask, but trainable profile language",MaS Dance Academy,,inferred_from_listing_header,Coder Needed | Dance Academy,https://www.onlinejobs.ph/jobseekers/job/Coder-Needed-Dance-Academy-1625706,Full Time,40,"Jun 26, 2026",$$$ Salary To Be Determined,,Javascript HTML Python,"Explicit tools: claude code, cursor | AI/build signals: claude, llm | Build surface: website, react, repo, html, css, javascript, python, api | Code/build substrate: react, repo, html, css, javascript, python | Trainable language: assistant, va, virtual assistant, templates, learn | Scarcity/seniority signal: senior, lead","Full-time, long-term opportunity. Environment here is CREATIVE and FUN. YOUR FOCUS: You'll be building systems for explosive growth in 2026 and 2027. Examples: • Building Automations (n8n, Zapier, A.I. Tools etc.) • Website Development (HTML, CSS, Javascript..."
28,85,High-confidence vibe coding,"Senior ask, but trainable profile language",Binary IT Solutions,,inferred_from_listing_header,Digital Solutions Analyst,https://www.onlinejobs.ph/jobseekers/job/Digital-Solutions-Analyst-1677086,Part Time,20,"Jun 27, 2026","Starting @ ?16,000",275.86,AI Tools Team Collaboration,"Explicit tools: ai-assisted development | AI/build signals: claude, chatgpt, ai tools, llm | Build surface: website, websites, react, next.js, repo, css, api, apis | Code/build substrate: react, next.js, repo, css, api, apis | Trainable language: junior, va, learn | Scarcity/seniority signal: expert","ABOUT BITS Binary IT Solutions is a digital services company serving clients across the US and Canada. We build websites, automate workflows, and deliver technical solutions for businesses that need a reliable partner. We’re a small remote team that moves..."
29,85,High-confidence vibe coding,Junior or trainable,Company not exposed,,not_exposed,Right-Hand VA (AI & Tech Focus) — Clean Christian Music App,https://www.onlinejobs.ph/jobseekers/job/Right-Hand-VA-AI-Tech-Focus-Clean-Christian-Music-App-1677917,Full Time,40,"Jun 28, 2026",$500/mo,500.0,AI Tools Tech-Savvy AI Automation,"Explicit tools: claude code | AI/build signals: claude, chatgpt, ai tools, ai automation | Build surface: internal tool, internal tools, repo, api, automation, automations, workflow, wordpress | Code/build substrate: internal tool, internal tools, repo, api, claude code | Trainable language: va, we can teach, learn","We're looking for a sharp, tech-curious right hand who loves using AI to make things run faster and smarter. The heart of this role is using AI to build — simple automations, internal tools, and reports that save our small team hours every week. If you get a..."
30,84,High-confidence vibe coding,"Senior ask, but trainable profile language",Save on Branson - Drew,https://asp.net,exposed_company_or_brand,Full-Stack Developer - C# and .net Environment,https://www.onlinejobs.ph/jobseekers/job/Full-Stack-Developer-C-and-net-Environment-1680072,Any,40,"Jul 1, 2026",?400 per hour,69280.0,C# .Net Fullstack,"Explicit tools: claude code, cursor, ai-assisted development, codex | AI/build signals: claude | Build surface: dashboard, dashboards, internal tool, internal tools, web app, frontend, repo, html | Code/build substrate: dashboard, dashboards, internal tool, internal tools, web app, frontend | Trainable language: va | Scarcity/seniority signal: lead, architect","Save On Branson is looking for a practical, business-minded full-stack developer to help build and improve SMASH, our in-house CRM, booking, lead management, order, reporting, and operations platform. SMASH is not a simple brochure site. It runs real business..."
31,84,High-confidence vibe coding,"Senior ask, but trainable profile language",Lovable,https://lovable.dev,inferred_from_domain,Title Senior Web Developer (Lovable.dev) Completion & Support Role,https://www.onlinejobs.ph/jobseekers/job/Title-Senior-Web-Developer-Lovabledev-Completion-Support-Role-1546275,Any,TBD,"Jun 25, 2026",500,500.0,Web Design & Page Layout AI Automation,"Explicit tools: lovable, lovable.dev | AI/build signals: ai automation | Build surface: dashboard, dashboards, front-end, react, next.js, supabase, repo, typescript | Code/build substrate: dashboard, dashboards, front-end, react, next.js, supabase | Trainable language: va | Scarcity/seniority signal: senior, advanced","Web Developer Needed (Full-Stack) – Long-Term Project We are building a custom web platform with advanced dashboards, automation, and data-driven features. We’re looking for a skilled Web Developer who can jump in, clean things up, and help finalize and scale..."
32,83,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Us Salon Business School,,inferred_from_description,ai automation engineer build ai receptionists & business automation for the beauty industry,https://www.onlinejobs.ph/jobseekers/job/ai-automation-engineer-build-ai-receptionists-business-automation-for-the-beauty-industry-1679751,Full Time,40,"Jun 30, 2026",$8-$10 hourly,1732.0,,"AI/build signals: claude, openai, ai tools, ai automation, ai agent, ai agents | Build surface: dashboard, dashboards, react, github, repo, javascript, typescript, python | Code/build substrate: dashboard, dashboards, react, github, repo, javascript | Trainable language: assistant, va, templates, learn | Scarcity/seniority signal: lead",Build the Future of the Beauty Industry Full-Time | Remote | Long-Term We're looking for an exceptional AI Automation Engineer to join our team at Salon Business School. We believe the future of the beauty industry isn't just better education. It's...
33,83,High-confidence vibe coding,Junior or trainable,Company not exposed,,not_exposed,Full Stack Developer,https://www.onlinejobs.ph/jobseekers/job/Full-Stack-Developer-1679932,Part Time,TBD,"Jul 1, 2026",N/A,,,"Explicit tools: claude code, cursor, ai-assisted development | AI/build signals: claude, chatgpt | Build surface: front-end, react, next.js, github, repo, javascript, typescript, workflow | Code/build substrate: front-end, react, next.js, github, repo, javascript | Trainable language: va","We're looking for a Mid-Level Full Stack Developer to join our team in a remote, part-time capacity (approximately 20 hours per week to start). This opportunity is ideal for developers who enjoy enhancing existing applications, are experienced with modern..."
34,82,High-confidence vibe coding,Junior or trainable,Sven van der sangen,,exposed_company_or_brand,AI Agent Developer,https://www.onlinejobs.ph/jobseekers/job/AI-Agent-Developer-1621459,Full Time,40,"Jun 29, 2026",2000 - 3000 USD,3000.0,,"Explicit tools: claude code | AI/build signals: claude, ai tools, ai agent, ai agents, agentic, prompt engineering | Build surface: repo, typescript, python, api, apis, webhook, webhooks, automation | Code/build substrate: repo, typescript, python, api, apis, webhook | Trainable language: va","About the Role We're looking for a developer who lives at the intersection of AI and automation. You'll design and build fully autonomous creative pipelines that take a single prompt and produce complete, polished advertisements — visuals, video, copy, and..."
35,82,High-confidence vibe coding,Junior or trainable,Company not exposed,,not_exposed,Technical Operations Specialist.,https://www.onlinejobs.ph/jobseekers/job/Technical-Operations-Specialist-1676232,Full Time,50,"Jun 25, 2026",$1750 Per Month,1750.0,HubSpot CRM Google Sheets Zapier,"Explicit tools: cursor | AI/build signals: claude, chatgpt, ai tools | Build surface: dashboard, dashboards, internal tool, internal tools, repo, javascript, api, apis | Code/build substrate: dashboard, dashboards, internal tool, internal tools, repo, javascript | Trainable language: assistant, va, virtual assistant, sop, learn","We're a fast-growing U.S.-based online education company looking for a Technical Operations Specialist to join our Operations team. This is NOT a traditional virtual assistant role. We're looking for someone who enjoys solving problems, building systems..."
36,81,High-confidence vibe coding,Junior or trainable,Company not exposed,,not_exposed,AI - SEO Specialist,https://www.onlinejobs.ph/jobseekers/job/AI-SEO-Specialist-1611996,Full Time,40,"Jun 26, 2026",800-1200,1200.0,Local SEO Backlinks Management AI Automation,"Explicit tools: claude code | AI/build signals: claude, ai automation, ai agent, ai agents | Build surface: dashboard, dashboards, repo, javascript, python, automation, automations, workflow | Code/build substrate: dashboard, dashboards, repo, javascript, python, claude code | Trainable language: junior, va",AI-Powered SEO Specialist Full-Time - Makarios Marketing] | [Remote] About the Role We're not looking for a traditional SEO hire. We're looking for a rare hybrid: someone who lives and breathes local SEO and thinks like an AI engineer. You'll be responsible...
